date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:22%20GMT	http://makerdao.com/robots.txt		(from https://makerdao.com/)
08:37:23	56796/56796	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/FuturaBT-Medium.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/FuturaBT-Medium.ttf	(from https://makerdao.com/css/main.css?v=6)
08:37:23	1230/1230	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/css/careers.css	C:/My%20Web%20Sites/MakerDAO/makerdao.com/css/careers.css	(from https://makerdao.com/careers/)
08:37:23	14555/14555	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/sysadmin-devops-americas-timezone.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/sysadmin-devops-americas-timezone.html	(from https://makerdao.com/careers/)
08:37:24	14012/14012	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/full-stack-developer.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/full-stack-developer.html	(from https://makerdao.com/careers/)
08:37:24	13569/13569	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/senior-front-end-product-developer.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/senior-front-end-product-developer.html	(from https://makerdao.com/careers/)
08:37:24	13486/13486	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/junior-front-end-product-developer.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/junior-front-end-product-developer.html	(from https://makerdao.com/careers/)
08:37:25	14467/14467	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/technical-account-manager.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/technical-account-manager.html	(from https://makerdao.com/careers/)
08:37:25	15753/15753	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/community-lead.html?region=Asia%20-%20Pacific	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/community-lead1603.html	(from https://makerdao.com/careers/)
08:37:25	15753/15753	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/community-lead.html?region=Korea	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/community-lead6744.html	(from https://makerdao.com/careers/)
08:37:25	15753/15753	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/community-lead.html?region=Japan	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/community-leada8eb.html	(from https://makerdao.com/careers/)
08:37:26	13065/13065	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/business-development-associate.html	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/business-development-associate.html	(from https://makerdao.com/careers/)
08:37:26	3906/3906	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Aug%202018%2007:37:26%20GMT	https://makerdao.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/MakerDAO/makerdao.com/cdn-cgi/l/email-protection.html	(from https://makerdao.com/careers/)
08:37:26	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b74024b-4d7%22	https://makerdao.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/MakerDAO/makerdao.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://makerdao.com/careers/)
08:37:27	942/942	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/plugins.js?v=2	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/plugins5e1f.js	(from https://makerdao.com/careers/community-lead.html?region=Asia%20-%20Pacific)
08:37:27	3178/3178	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/main.js	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/main.js	(from https://makerdao.com/careers/community-lead.html?region=Asia%20-%20Pacific)
